account_id,display_name,email,active
jacc_001,Sheila Stokes,sheila.stokes@Finthesiss.ai,true
jacc_002,Babatunde Olatunji,b.olatunji@telecorpng.com,true
jacc_003,Yetunde Bakare,yetunde.bakare.engineer@gmail.com,true
jacc_004,Ifeanyi Okeke,i.okeke@telecorpng.com,true
jacc_005,Chinwe Eze,c.eze@telecorpng.com,true
jacc_006,Emeka Adeniyi,e.adeniyi@telecorpng.com,true
jacc_007,Fatima Musa,f.musa@telecorpng.com,true
jacc_008,Chioma Ndukwe,c.ndukwe@telecorpng.com,true
jacc_009,Tunde Bello,t.bello@telecorpng.com,true
jacc_010,Ola Adeyemo,ola.adeyemo@tachyon-networks.ng,true
jacc_011,Amaka Obi,a.obi@telecorpng.com,true
